Movie;Month;Day;Release Year;Budget($M);Domestic Gross($M);Worldwide Gross($M);Votes;Rating
Kevin Hart: Let Me Explain;Jul;3;2013;2.5;32.244051;32.327255;3857;6.5
The Spectacular Now;Aug;2;2013;2.5;6.852971;6.916951;41280;7.3
The Lost Medallion: The Adventures of Billy Stone;Mar;1;2013;2.5;0.549632;0.549632;876;4.7
Plush;Sep;13;2013;2;0.00308;0.028864;1497;5.3
Stitches;Apr;1;2013;2;0;0.063555;4037;5.7
Straight A's;Mar;19;2013;2;0;0;2541;5.6
Small Apartments;Feb;8;2013;2;0;0;3905;6.1
Coffee Town;Jul;9;2013;2;0;0;2176;6.7
Stranded;Jul;26;2013;1.9;0;0.285593;1987;5.4
Grace Unplugged;Oct;4;2013;1.7;2.507159;2.507159;1190;5.8
The To Do List;Jul;26;2013;1.5;3.491669;4.128828;17171;5.8
The Gatekeepers;Feb;1;2013;1.5;2.408553;2.592308;3175;7.6
The Lords of Salem;Apr;19;2013;1.5;1.165881;1.541131;14176;5.1
Filly Brown;Apr;19;2013;1.25;2.850357;2.850357;775;5.4
Home Run;Apr;19;2013;1.2;2.859955;2.859955;1332;5.9
The Act of Killing;Jul;19;2013;1;0.486919;0.501289;12137;8.2
Heli;Dec;31;2013;1;0;0.552614;1631;7
Black Rock;May;14;2013;1;0;0;4110;4.7
My Last Day Without You;Oct;4;2013;1;0;0;628;5.7
Zombie Hunter;Oct;8;2013;1;0;0;1322;3.4
Fruitvale Station;Jul;12;2013;0.9;16.098998;17.549645;28828;7.5
The Brass Teapot;Apr;5;2013;0.9;0.006997;0.413733;7575;6.4
All the Boys Love Mandy Lane;Oct;11;2013;0.75;0;1.960521;20919;5.6
Escape from Tomorrow;Oct;11;2013;0.65;0.171962;0.171962;3393;5.4
Drinking Buddies;Aug;23;2013;0.5;0.343706;0.4071;29485;6.2
Detention of the Dead;Jun;28;2013;0.5;0.001778;0.001778;1026;4.5
Now is Good;Jan;8;2013;0.5;0;2.141436;15305;7.2
The Canyons;Aug;2;2013;0.25;0.059671;0.062375;5582;4
Supporting Characters;Jan;25;2013;0.06;0.004917;0.004917;503;6.3
The Dirties;Oct;4;2013;0.055;0;0;1601;6.7
This Is Martin Bonner;Jun;21;2013;0.042;0;0;559;6.7
All Superheroes Must Die;Jan;4;2013;0.02;0;0;1443;3.9
The Dark Knight Rises;Jul;20;2012;275;448.139099;1084.439099;781526;8.6
John Carter;Mar;9;2012;275;73.058679;282.7781;170745;6.6
The Hobbit: An Unexpected Journey;Dec;14;2012;250;303.003568;1017.003568;453335;8.1
